name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A38	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A39	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
