name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A38	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A40	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A41	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A42	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A43	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A44	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A46	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A47	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A48	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A49	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A50	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A51	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A52	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A53	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A54	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A55	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A56	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A57	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A58	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A59	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A60	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A61	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A62	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A63	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A64	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B1	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B2	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B3	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B4	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B5	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B6	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B8	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B9	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B10	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B11	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B12	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B13	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B14	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B15	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B16	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B17	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B18	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B19	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B20	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B21	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B22	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B23	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B24	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B25	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B26	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B27	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B28	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B29	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B30	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B31	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B32	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B33	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B34	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B35	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B36	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B37	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B38	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B39	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B40	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B41	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B42	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B43	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B44	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B45	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B46	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B47	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B48	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B49	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B50	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B51	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B52	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B53	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B54	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B55	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B56	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B57	ECOG	É V	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
